Location,botottop,x,y,angle,BLOCK
R542,2,218,10.87,270,
R551,2,113,51,270,
R551,2,237.5,51,270,
R552,2,112,51,270,
R552,2,236.5,51,270,
R553,2,107.12,60.62,0,
R553,2,231.62,60.62,0,
R554,2,52.25,94.37,180,
R554,2,176.75,94.37,180,
R555,2,81.75,11,270,
R555,2,206.25,11,270,
R556,2,81.75,12.87,270,
R556,2,206.25,12.87,270,
R558,2,96.5,10.87,90,
R558,2,221,10.87,90,
R559,2,97.5,10.87,270,
R559,2,222,10.87,270,
R560,2,52.62,93.12,180,
R560,2,177.12,93.12,180,
R561,2,112,53.62,270,
R561,2,236.5,53.62,270,
R562,2,66.25,56.62,180,
R562,2,190.75,56.62,180,
R563,2,60.37,51.12,0,
R563,2,184.87,51.12,0,
R602,2,30.5,10.75,90,
R602,2,155,10.75,90,
R603,2,32.5,12.62,270,
R603,2,157,12.62,270,
R606,2,32.5,10.75,90,
R606,2,157,10.75,90,
R612,2,15.25,19.75,90,
R612,2,139.75,19.75,90,
R613,2,14.75,21.75,180,
R613,2,139.25,21.75,180,
R614,2,24.37,24.25,180,
R614,2,148.87,24.25,180,
R615,2,16.62,17.5,180,
R615,2,141.12,17.5,180,
R617,2,23.87,28.37,90,
R617,2,148.37,28.37,90,
R618,2,14.5,15.25,90,
R618,2,139,15.25,90,
R619,2,17,127.25,90,
R619,2,141.5,127.25,90,
R622,2,14.75,13.5,0,
R622,2,139.25,13.5,0,
R624,2,17.12,13.5,180,
R624,2,141.62,13.5,180,
R625,2,11.87,12.37,180,
R625,2,136.37,12.37,180,
R701,2,104,15.62,180,
R701,2,228.5,15.62,180,
R702,2,104,16.75,0,
R702,2,228.5,16.75,0,
R703,2,108.37,18.62,90,
R703,2,232.87,18.62,90,
R704,2,108.52,16.37,90,
R704,2,233.02,16.37,90,
R705,2,106.87,18.62,90,
R705,2,231.37,18.62,90,
R720,2,109.35,22.02,0,
R720,2,233.85,22.02,0,
R721,2,109.35,25.32,0,
R721,2,233.85,25.32,0,
R722,2,109.37,28.95,0,
R722,2,233.87,28.95,0,
R723,2,109.35,32.12,0,
R723,2,233.85,32.12,0,
R724,2,109.37,35.37,0,
R724,2,233.87,35.37,0,
R725,2,83.55,23.22,180,
R725,2,208.05,23.22,180,
R726,2,83.55,26.12,180,
R726,2,208.05,26.12,180,
R727,2,83.55,29.12,180,
R727,2,208.05,29.12,180,
R728,2,83.55,32.22,180,
R728,2,208.05,32.22,180,
R729,2,83.5,35.12,180,
R729,2,208,35.12,180,
R731,2,60.25,12.5,90,
R731,2,184.75,12.5,90,
R732,2,105.62,16.25,90,
R732,2,230.12,16.25,90,
R800,2,53.25,31.12,180,
R800,2,177.75,31.12,180,
R801,2,66.5,87.25,270,
R801,2,191,87.25,270,
R802,2,50.87,100.75,0,
R802,2,175.37,100.75,0,
R901,2,44,46.62,180,
R901,2,168.5,46.62,180,
R902,2,45.5,44.5,90,
R902,2,170,44.5,90,
R903,2,27.45,104.75,90,
R903,2,151.95,104.75,90,
SW201,2,120.82,29.8,270,
SW201,2,245.32,29.8,270,
X101,2,52.12,87.75,180,
X101,2,176.62,87.75,180,
ZD401,2,71.75,50.25,270,
ZD401,2,196.25,50.25,270,
