Location,top_bot,x,y,Theta
BMASK101,2,4.05,187,0
BMASK102,2,327.8,191.25,0
BMASK103,2,315,5.75,0
BMASK104,2,9.55,5.75,0
BTAG101,2,3.55,190.5,0
BTAG102,2,311,5.75,0
C1,2,4.82,82.32,-90
C1,2,14.82,82.32,-90
C2,2,32.98,15.75,-90
C2,2,32.98,33.3,-90
C3,2,24,58.57,-90
C3,2,34,58.57,-90
C4,2,9.3,126.2,-90
C4,2,9.3,167.7,-90
C50,2,46.3,70.3,-90
C50,2,53.5,74.4,90
C60,1,97.55,91.27,0
C60,1,97.55,189.32,0
C101,1,134.55,54.9,180
C101,1,134.55,152.95,180
C102,1,87.05,15.9,90
C102,1,87.05,113.95,90
C103,1,80.55,15.9,-90
C103,1,80.55,113.95,-90
C105,1,176.3,26.65,-90
C105,1,176.3,124.7,-90
C106,1,156.3,16.4,180
C106,1,156.3,114.45,180
C108,1,191.18,38.4,-90
C108,1,191.18,136.45,-90
C109,2,199.8,65.9,90
C109,2,199.8,163.95,90
C110,2,210.55,72.28,90
C110,2,210.55,170.33,90
C111,2,217.18,67.03,90
C111,2,217.18,165.08,90
C112,2,226.55,73.4,-90
C112,2,226.55,171.45,-90
C113,2,224.55,73.4,90
C113,2,224.55,171.45,90
C114,2,218.05,70.65,-90
C114,2,218.05,168.7,-90
C115,2,230.05,80.53,-90
C115,2,230.05,178.58,-90
C117,1,221.68,53.4,180
C117,1,221.68,151.45,180
C119,1,233.8,20.65,180
C119,1,233.8,118.7,180
C120,1,159.05,25.4,0
C120,1,159.05,123.45,0
C121,2,206.8,28.15,90
C121,2,206.8,126.2,90
C122,2,161.93,84.28,90
C122,2,161.93,182.33,90
C202,1,269.42,18.65,0
C202,1,269.42,116.7,0
C203,1,284.05,35.53,180
C203,1,284.05,133.58,180
C204,2,282.8,39.9,90
C204,2,282.8,137.95,90
C206,2,240.43,86.28,-90
C206,2,240.43,184.33,-90
C207,2,264.05,75.53,-90
C207,2,264.05,173.58,-90
C208,2,262.17,76.9,90
C208,2,262.17,174.95,90
C209,2,249.93,83.15,90
C209,2,249.93,181.2,90
C210,2,262.42,82.53,-90
C210,2,262.42,180.58,-90
C211,2,258.3,89.4,90
C211,2,258.3,187.45,90
C212,2,256.3,89.4,90
C212,2,256.3,187.45,90
C213,2,319.92,75.28,-90
C213,2,319.92,173.33,-90
C214,2,229.68,90.4,90
C214,2,229.68,188.45,90
C215,2,265.55,23.4,90
C215,2,265.55,121.45,90
C216,2,267.8,23.4,-90
C216,2,267.8,121.45,-90
C304,2,295.55,71.78,-90
C304,2,295.55,169.83,-90
C305,2,311.67,66.65,90
C305,2,311.67,164.7,90
C306,2,317.8,63.53,-90
C306,2,317.8,161.58,-90
C307,1,290.8,60.9,180
C307,1,290.8,158.95,180
C308,2,305.8,60.53,90
C308,2,305.8,158.58,90
C309,2,311.67,72.03,-90
C309,2,311.67,170.08,-90
C310,2,309.8,56.28,90
C310,2,309.8,154.33,90
C311,2,322.17,43.78,90
C311,2,322.17,141.83,90
C312,2,318.92,55.4,-90
C312,2,318.92,153.45,-90
C314,2,288.3,64.65,90
C314,2,288.3,162.7,90
C315,2,276.3,49.65,90
