Location,topBot,x,y,angle,Block
R55,2,81,40.95,90,
R55,2,18.5,40.95,90,
R56,2,81.8,40.95,90,
R56,2,19.3,40.95,90,
R57,2,89.8,43.3,90,
R57,2,27.3,43.3,90,
R58,2,92.2,43.3,90,
R58,2,29.7,43.3,90,
R59,2,90.6,43.3,90,
R59,2,28.1,43.3,90,
R60,2,91.4,43.3,90,
R60,2,28.9,43.3,90,
R61,2,96.2,43.3,270,
R61,2,33.7,43.3,270,
R62,2,92.65,118.85,0,
R62,2,30.15,118.85,0,
R63,2,112.55,39.85,0,
R63,2,50.05,39.85,0,
R64,2,93.6,43.3,90,
R64,2,31.1,43.3,90,
R65,2,96.95,20.1,270,
R65,2,34.45,20.1,270,
R66,2,95.7,50.5,270,
R66,2,33.2,50.5,270,
R67,2,100.55,43.55,0,
R67,2,38.05,43.55,0,
R68,2,101.8,43.1,90,
R68,2,39.3,43.1,90,
R69,2,89.8,10,270,
R69,2,27.3,10,270,
R71,2,83.45,113.35,270,
R71,2,20.95,113.35,270,
R78,2,104.95,30.7,0,
R78,2,42.45,30.7,0,
R79,2,81.7,29.7,0,
R79,2,19.2,29.7,0,
R80,2,105.3,56.8,270,
R80,2,42.8,56.8,270,
R81,2,90.6,10,90,
R81,2,28.1,10,90,
R82,2,94.95,19.8,90,
R82,2,32.45,19.8,90,
R83,2,103.7,30.25,270,
R83,2,41.2,30.25,270,
R84,2,80.2,41.95,270,
R84,2,17.7,41.95,270,
R85,2,79.4,41.95,90,
R85,2,16.9,41.95,90,
R88,2,94.9,50.5,270,
R88,2,32.4,50.5,270,
R89,2,95.75,19.8,90,
R89,2,33.25,19.8,90,
R90,2,112.55,40.65,180,
R90,2,50.05,40.65,180,
R91,2,112.55,41.45,0,
R91,2,50.05,41.45,0,
R92,2,103.65,38.8,90,
R92,2,41.15,38.8,90,
R93,2,72.7,31.4,0,
R93,2,10.2,31.4,0,
R94,2,100,107.3,180,
R94,2,37.5,107.3,180,
R95,2,86.5,58.7,270,
R95,2,24,58.7,270,
R96,2,85.7,58.7,270,
R96,2,23.2,58.7,270,
R97,2,86.95,57.45,180,
R97,2,24.45,57.45,180,
R98,2,102.9,56.8,270,
R98,2,40.4,56.8,270,
R99,2,91.25,21.45,90,
R99,2,28.75,21.45,90,
R100,2,72.7,30.6,180,
R100,2,10.2,30.6,180,
R101,2,91.5,58.7,90,
R101,2,29,58.7,90,
R103,2,107.65,39.35,0,
R103,2,45.15,39.35,0,
R104,2,109.55,131.55,180,
R104,2,47.05,131.55,180,
R106,2,89.55,21.95,90,
R106,2,27.05,21.95,90,
R107,2,101.7,22.65,90,
R107,2,39.2,22.65,90,
R108,2,81.2,115.45,0,
R108,2,18.7,115.45,0,
R109,2,72.7,41.4,0,
R109,2,10.2,41.4,0,
R110,2,72.7,38.6,0,
R110,2,10.2,38.6,0,
R111,2,72.7,36.8,0,
R111,2,10.2,36.8,0,
R112,2,112.55,35.25,180,
R112,2,50.05,35.25,180,
R113,2,112.55,36.85,0,
R113,2,50.05,36.85,0,
R121,2,81.6,10.7,270,
R121,2,19.1,10.7,270,
R122,2,73.3,25.5,90,
R122,2,10.8,25.5,90,
R123,2,94.5,57,270,
R123,2,32,57,270,
R124,2,93.7,58.7,270,
R124,2,31.2,58.7,270,
R129,2,82.4,9,270,
R129,2,19.9,9,270,
R130,2,82.4,10.7,270,
R130,2,19.9,10.7,270,
R131,2,79.5,10.7,270,
R131,2,17,10.7,270,
R132,2,79.5,9,270,
R132,2,17,9,270,
R137,2,112.6,32.75,0,
