Location,botottop,x,y,angle,BLOCK
D810,1,48.13,5.38,0
D810,1,48.13,97.28,0
ETH1,2,147.63,72.5,-90
ETH1,2,147.63,164.4,-90
IC701,2,104.25,64.75,-90
IC701,2,104.25,156.65,-90
IC801,2,72.63,64.88,-90
IC801,2,72.63,156.77,-90
ITP1,2,141.9,86.13,90
ITP1,2,141.9,178.02,90
ITP2,2,114.63,52.38,-180
ITP2,2,114.63,144.27,-180
ITP3,2,114.25,55.25,180
ITP3,2,114.25,147.15,180
ITP4,2,111.38,44.75,0
ITP4,2,111.38,136.65,0
ITP5,2,102.5,72.25,0
ITP5,2,102.5,164.15,0
ITP6,2,114.6,19.38,0
ITP6,2,114.6,111.28,0
ITP7,2,104.5,72.25,0
ITP7,2,104.5,164.15,0
ITP8,2,66.38,82.88,0
ITP8,2,66.38,174.77,0
ITP9,2,70.38,72.5,0
ITP9,2,70.38,164.4,0
ITP10,2,139.63,70,0
ITP10,2,139.63,161.9,0
ITP11,2,108.88,20.13,0
ITP11,2,108.88,112.03,0
ITP12,2,142.38,76.63,-180
ITP12,2,142.38,168.52,-180
ITP13,2,115.88,64.5,-180
ITP13,2,115.88,156.4,-180
ITP14,2,138.5,81.25,90
ITP14,2,138.5,173.15,90
ITP15,2,49.75,72.5,0
ITP15,2,49.75,164.4,0
ITP16,2,59.88,56.75,-180
ITP16,2,59.88,148.65,-180
ITP17,2,114.75,41.94,0
ITP17,2,114.75,133.84,0
ITP18,2,114.75,39.63,180
ITP18,2,114.75,131.52,180
ITP19,2,57.38,72.63,180
ITP19,2,57.38,164.52,180
ITP20,2,51.13,70.38,180
ITP20,2,51.13,162.27,180
ITP21,2,102.75,39,0
ITP21,2,102.75,130.9,0
ITP22,2,113.25,34.13,0
ITP22,2,113.25,126.03,0
ITP23,2,110.4,75.38,0
ITP23,2,110.4,167.27,0
ITP24,2,156.5,24.25,90
ITP24,2,156.5,116.15,90
ITP25,2,35.13,66.75,90
ITP25,2,35.13,158.65,90
ITP26,2,30.38,64.75,90
ITP26,2,30.38,156.65,90
ITP27,2,156.5,30.5,90
