Location,top_bot,x,y,Theta
ITP12,2,223.92,116.87,0
ITP12,2,223.92,21.37,0
ITP13,2,71.7,20.2,0
ITP13,2,71.7,115.7,0
ITP13,2,220.2,115.7,0
ITP13,2,220.2,20.2,0
ITP14,2,58.7,20.47,0
ITP14,2,58.7,115.97,0
ITP14,2,207.2,115.97,0
ITP14,2,207.2,20.47,0
ITP15,2,129.5,83.12,0
ITP15,2,129.5,178.62,0
ITP15,2,278,178.62,0
ITP15,2,278,83.12,0
ITP16,2,127.4,76.47,0
ITP16,2,127.4,171.97,0
ITP16,2,275.9,171.97,0
ITP16,2,275.9,76.47,0
ITP17,2,59.1,12.7,0
ITP17,2,59.1,108.2,0
ITP17,2,207.6,108.2,0
ITP17,2,207.6,12.7,0
ITP18,2,43.57,81.72,0
ITP18,2,43.57,177.22,0
ITP18,2,192.07,177.22,0
ITP18,2,192.07,81.72,0
ITP19,2,131.9,60.1,0
ITP19,2,131.9,155.6,0
ITP19,2,280.4,155.6,0
ITP19,2,280.4,60.1,0
ITP20,2,69.75,12.62,0
ITP20,2,69.75,108.12,0
ITP20,2,218.25,108.12,0
ITP20,2,218.25,12.62,0
ITP21,2,50.3,75.62,0
ITP21,2,50.3,171.12,0
ITP21,2,198.8,171.12,0
ITP21,2,198.8,75.62,0
ITP22,2,60.8,54.2,0
ITP22,2,60.8,149.7,0
ITP22,2,209.3,149.7,0
ITP22,2,209.3,54.2,0
ITP23,2,58.7,42.2,0
ITP23,2,58.7,137.7,0
ITP23,2,207.2,137.7,0
ITP23,2,207.2,42.2,0
ITP24,2,61.12,75.5,0
ITP24,2,61.12,171,0
ITP24,2,209.62,171,0
ITP24,2,209.62,75.5,0
ITP25,2,19.5,86.9,0
ITP25,2,19.5,182.4,0
ITP25,2,168,182.4,0
ITP25,2,168,86.9,0
ITP26,2,119.32,58.5,0
ITP26,2,119.32,154,0
ITP26,2,267.82,154,0
ITP26,2,267.82,58.5,0
ITP27,2,102.4,42.72,0
ITP27,2,102.4,138.22,0
ITP27,2,250.9,138.22,0
ITP27,2,250.9,42.72,0
ITP28,2,81.4,42.72,0
ITP28,2,81.4,138.22,0
ITP28,2,229.9,138.22,0
ITP28,2,229.9,42.72,0
ITP29,2,53.6,75.52,0
ITP29,2,53.6,171.02,0
ITP29,2,202.1,171.02,0
ITP29,2,202.1,75.52,0
ITP30,2,19.24,56.12,180
ITP30,2,19.24,151.62,180
ITP30,2,167.74,151.62,180
ITP30,2,167.74,56.12,180
ITP31,2,19.22,63.25,180
ITP31,2,19.22,158.75,180
ITP31,2,167.72,158.75,180
ITP31,2,167.72,63.25,180
ITP32,2,14.57,63.57,180
ITP32,2,14.57,159.07,180
ITP32,2,163.07,159.07,180
ITP32,2,163.07,63.57,180
ITP33,2,10.82,71.92,180
ITP33,2,10.82,167.42,180
ITP33,2,159.32,167.42,180
ITP33,2,159.32,71.92,180
ITP34,2,72.9,39.25,0
ITP34,2,72.9,134.75,0
ITP34,2,221.4,134.75,0
ITP34,2,221.4,39.25,0
ITP35,2,117.65,79.2,0
ITP35,2,117.65,174.7,0
ITP35,2,266.15,174.7,0
ITP35,2,266.15,79.2,0
ITP36,2,141.9,62.2,0
ITP36,2,141.9,157.7,0
ITP36,2,290.4,157.7,0
ITP36,2,290.4,62.2,0
